sweep,seed,n,m,weight_decay,nu2,eta,teacher_kind,teacher_norm,epsilon,c,t1,t2,grokking_delay,t2_over_t1_plus_one,initial_training_loss,initial_population_loss,training_loss_after_fit,population_loss_after_fit,population_loss_at_t2,population_loss_late,late_epoch,limiting_training_loss,limiting_population_loss,equation8_t1_upper,equation8_t2_lower,equation8_t1_pass,equation8_t2_pass,training_monotone_to_crossing,population_monotone_to_crossing,lambda_min_positive_phi_t_phi,lambda_max_phi_t_phi,gd_condition_rhs,gd_condition_pass,spectral_orthogonality_error,teacher_sparsity,theta_star_norm
sample_size,3,50,1000,0.0001,1,1,random,1,0.01,0.01,100,23534,23434,233.009900990099,0.6046803658011567,1.0453231416987252,0.009760983172157763,0.9693695030598259,0.009998909704933792,0.0009571467248778704,235340,1.0335054908196257e-08,0.0009571467247887778,591.1297660556683,12249.6799501025,True,True,True,True,0.5985142183337777,1.4531101928085408,82.84808954135883,True,1.887379141862766e-15,,
sample_size,4,50,1000,0.0001,1,1,random,1,0.01,0.01,105,22923,22818,216.25471698113208,0.7062791334772831,0.9573775259888903,0.009847154518240307,0.8721325020632262,0.00999972999626398,0.0009295858432422167,229230,1.8213095479198712e-08,0.0009295858432415674,602.8977203183027,12249.6799501025,True,True,True,True,0.5868318256002809,1.4572854187504394,84.48345938356086,True,3.1086244689504383e-15,,
sample_size,5,50,1000,0.0001,1,1,random,1,0.01,0.01,108,22822,22714,209.37614678899084,0.7163467140981428,0.9714525253379726,0.009896124801742935,0.8828010685554621,0.009998734152262847,0.0009467201795159836,228220,1.30435514877389e-08,0.0009467201799461487,575.0615818061124,12249.6799501025,True,True,True,True,0.6152377085484458,1.484462282314379,80.61425371413802,True,4.440892098500626e-15,,
sample_size,0,100,1000,0.0001,1,1,random,1,0.01,0.01,208,22698,22490,108.60287081339713,0.5538647184938577,0.9698206157782321,0.009930721099296875,0.8291502599938037,0.009999351572095642,0.0009044333756660793,226980,5.8403965843772595e-08,0.0009044333758088454,1534.9701493517568,11982.02043886351,True,True,True,True,0.460985602897949,1.7320854523039289,212.32071508068483,True,2.220446049250313e-15,,
sample_size,1,100,1000,0.0001,1,1,random,1,0.01,0.01,218,23144,22926,105.68036529680366,0.5475522004602564,1.0348165048144988,0.009888409724405604,0.8871349454315453,0.00999988539733632,0.0009091934970459166,231440,4.993922844768697e-08,0.0009091934969670356,1473.337196906702,11982.02043886351,True,True,True,True,0.4802696498906642,1.713015416161269,203.96938709606263,True,3.552713678800501e-15,,
sample_size,2,100,1000,0.0001,1,1,random,1,0.01,0.01,203,23045,22842,112.9656862745098,0.4941398313538378,1.0247969538614696,0.00988940514997773,0.8944701399072492,0.009998489159690932,0.000898304490784924,230450,5.6703481732271715e-08,0.0008983044909402106,1475.9602915067205,11982.02043886351,True,True,True,True,0.4794161088215512,1.6903864231947845,204.32510944681954,True,1.9984014443252818e-15,,
sample_size,3,100,1000,0.0001,1,1,random,1,0.01,0.01,225,23163,22938,102.49115044247787,0.5814877505108658,1.045323141698725,0.00989258683439463,0.8881305273665548,0.009998352804642901,0.0008926046058177676,231630,5.443066050873935e-08,0.0008926046057148334,1483.573788058165,11982.02043886351,True,True,True,True,0.47695581131521864,1.70402962906387,205.3574424543986,True,2.220446049250313e-15,,
sample_size,4,100,1000,0.0001,1,1,random,1,0.01,0.01,206,22597,22391,109.16425120772946,0.6279358053767029,0.9573775259888903,0.009891288844825015,0.809645121876931,0.009998880143517047,0.0008779188864032169,225970,6.549832440822532e-08,0.0008779188864558964,1481.2170087996312,11982.02043886351,True,True,True,True,0.47771470049666,1.717242672702639,205.0379041233858,True,3.1086244689504383e-15,,
sample_size,5,100,1000,0.0001,1,1,random,1,0.01,0.01,229,22492,22263,97.79130434782608,0.6155542994036665,0.9714525253379724,0.009981244514914396,0.8107134520213468,0.009999510499678463,0.0008956168330967432,224920,5.313656526299258e-08,0.0008956168336316869,1452.6637163795704,11982.02043886351,True,True,True,True,0.48710457330950774,1.7240474215331025,201.1649165370641,True,3.1086244689504383e-15,,
sample_size,0,200,1000,0.0001,1,1,random,1,0.01,0.01,448,21954,21506,48.89532293986637,0.5530076645040795,0.9698206157782321,0.00995534608665075,0.6970694607220672,0.009999916100138805,0.0007976868525305054,219540,2.500370786964837e-07,0.0007976868529353332,4538.407205253478,11398.93610393092,True,True,True,True,0.3118270828189176,2.0594207634452535,602.7235580078997,True,2.6645352591003757e-15,,
